UID,Country,City,GDP_2005,SSP_1_2030,SSP_1_2100,SSP_2_2030,SSP_2_2100,SSP_5_2030,SSP_5_2100
Calgary.,Canada,Calgary,192672880,624948736,1817881472,630348224,1789590656,715052224,4938541056
Calgary.,Canada,Calgary,12762209,119145696,346576832,120175120,341183232,136323824,941526592
Calgary.,Canada,Calgary,401389696,201650112,586569728,203392368,577441216,230723520,1593502464
Calgary.,Canada,Calgary,188661904,75685984,220159104,76339912,216732880,86598208,598094464
Calgary.,Canada,Calgary,153875776,49568900,144188432,49997172,141944512,56715620,391709024
Calgary.,Canada,Calgary,56007864,26529002,77168864,26758212,75967912,30353884,209640496
Calgary.,Canada,Calgary,66728120,44486036,129403176,44870400,127389328,50899928,351542656
Calgary.,Canada,Calgary,66728120,39123592,113804624,39461616,112033536,44764332,309166944
Calgary.,Canada,Calgary,119891832,55038224,160097888,55513756,157606368,62973496,434929312
Calgary.,Canada,Calgary,119891832,55038224,160097888,55513756,157606368,62973496,434929312
Calgary.,Canada,Calgary,83647160,28760942,83661240,29009440,82359272,32907626,227278000
Calgary.,Canada,Calgary,16262700,19802664,57996456,19972170,57087400,22691386,158940960
Calgary.,Canada,Calgary,4959029.5,5212271,15265282,5256886.5,15026009,5972614,41834944
Calgary.,Canada,Calgary,4959029.5,5212271,15265282,5256886.5,15026009,5972614,41834944
Calgary.,Canada,Calgary,1604392,196521488,575556416,198203664,566534912,225189152,1577328896
Calgary.,Canada,Calgary,2187807.25,176364352,516521824,177874000,508425696,202091600,1415542912
Calgary.,Canada,Calgary,1553458.875,75733128,221801104,76381376,218324496,86780728,607852224
Calgary.,Canada,Calgary,1434229.125,106481416,311854240,107392872,306966112,122014448,854645504
Calgary.,Canada,Calgary,945734.625,12694.048828125,37177.3125,12802.70703125,36594.58203125,14545.7998046875,101885.4921875
Calgary.,Canada,Calgary,370422.375,19041.07421875,55765.97265625,19204.060546875,54891.875,21818.69921875,152828.234375
Calgary.,Canada,Calgary,138908.390625,15140.021484375,44340.8828125,15269.6162109375,43645.8671875,17348.580078125,121517.453125
Calgary.,Canada,Calgary,76399.6171875,9520.537109375,27882.986328125,9602.0302734375,27445.9375,10909.349609375,76414.1171875
Calgary.,Canada,Calgary,69454.1953125,135326.359375,396333,136484.71875,390120.71875,155067.171875,1086161.875
Calgary.,Canada,Calgary,55563.359375,0,0,0,0,0,0
Calgary.,Canada,Calgary,52090.6484375,6347.0244140625,18588.65625,6401.353515625,18297.291015625,7272.89990234375,50942.74609375
Calgary.,Canada,Calgary,45145.2265625,12694.048828125,37177.3125,12802.70703125,36594.58203125,14545.7998046875,101885.4921875
Calgary.,Canada,Calgary,12733.26953125,7687.20849609375,22302.685546875,7753.25146484375,21956.599609375,8828.193359375,61554.6640625
Calgary.,Canada,Calgary,10418.1298828125,12079.4189453125,23925.91796875,12083.541015625,23093.8359375,14667.537109375,84926
Calgary.,Canada,Calgary,20836.259765625,0,0,0,0,0,0
Calgary.,Canada,Calgary,92605.59375,3115.06396484375,9115.9296875,3141.668701171875,8972.755859375,3569.9365234375,24994.23046875
Calgary.,Canada,Calgary,166690.078125,3115.06396484375,9115.9296875,3141.668701171875,8972.755859375,3569.9365234375,24994.23046875
Calgary.,Canada,Calgary,163064560,189362800,550827840,190998896,542255488,216664656,1496404480
Calgary.,Canada,Calgary,446823168,826296320,2403571200,833435520,2366165504,945429632,6529653248
Calgary.,Canada,Calgary,404015072,840531136,2444978176,847793344,2406928384,961716800,6642141184
Calgary.,Canada,Calgary,98961816,146717616,426779392,147985248,420137632,167870992,1159408640
Calgary.,Canada,Calgary,99691080,84358856,245387168,85087720,241568304,96521512,666630144
Calgary.,Canada,Calgary,153656992,78214496,227514176,78890272,223973456,89491272,618075520
Calgary.,Canada,Calgary,112088656,112444160,327083104,113415680,321992864,128656080,888569088
Calgary.,Canada,Calgary,401389696,201650112,586569728,203392368,577441216,230723520,1593502464
Calgary.,Canada,Calgary,384689440,228413200,664419520,230386688,654079424,261345248,1804992768
