UID,Country,City,GDP_2005,SSP_1_2030,SSP_1_2100,SSP_2_2030,SSP_2_2100,SSP_5_2030,SSP_5_2100
Kyoto.1,Japan,Kyoto,312000864,363528224,634179136,341824832,510908960,388798176,1377335168
Kyoto.2,Japan,Kyoto,492010080,379803936,662572352,357128832,533783136,406205280,1439000576
Kyoto.3,Japan,Kyoto,270541088,656425792,1145142400,617235840,922552384,702055936,2487065088
Kyoto.4,Japan,Kyoto,270541088,656425792,1145142400,617235840,922552384,702055936,2487065088
Kyoto.5,Japan,Kyoto,235187408,604890368,1055487936,568155392,849186176,647094400,2295143680
Kyoto.6,Japan,Kyoto,90749872,256444336,447475968,240870496,360013984,274336800,973030208
Kyoto.7,Japan,Kyoto,90749872,256444336,447475968,240870496,360013984,274336800,973030208
Kyoto.8,Japan,Kyoto,116470840,357497856,623806720,335787040,501879744,382440960,1356458880
Kyoto.9,Japan,Kyoto,116470840,357497856,623806720,335787040,501879744,382440960,1356458880
Kyoto.10,Japan,Kyoto,116470840,357497856,623806720,335787040,501879744,382440960,1356458880
Kyoto.11,Japan,Kyoto,116470840,357497856,623806720,335787040,501879744,382440960,1356458880
Kyoto.12,Japan,Kyoto,122291152,442646720,772384960,415764736,621417408,473530720,1679540224
Kyoto.13,Japan,Kyoto,288913632,551986176,963174080,518464096,774915584,590499008,2094408704
Kyoto.14,Japan,Kyoto,186411552,209354304,365307424,196640224,293905760,223961232,794355840
Kyoto.15,Japan,Kyoto,90651304,189916880,331390592,178383232,266618176,203167632,720604096
Kyoto.16,Japan,Kyoto,221683344,130727280,228109216,122788224,183523824,139848304,496020288
Kyoto.17,Japan,Kyoto,173811312,257723952,449708832,242072384,361810368,275705696,977885504
Kyoto.18,Japan,Kyoto,117199424,72904592,127213000,68477096,102348408,77991240,276622880
Kyoto.19,Japan,Kyoto,117199424,72904592,127213000,68477096,102348408,77991240,276622880
Kyoto.20,Japan,Kyoto,70522736,205270400,358181280,192804336,288172480,219592400,778860224
Kyoto.21,Japan,Kyoto,20285818,21192960,35887988,20030904,28933186,22707274,78337176
Kyoto.22,Japan,Kyoto,93813480,88183840,149329808,83348536,120390904,94484904,325960736
Kyoto.23,Japan,Kyoto,34640896,31741184,53750264,30000746,43333900,34009208,117327392
Kyoto.24,Japan,Kyoto,161845216,74689760,126479040,70594360,101968424,80026616,276081536
Kyoto.25,Japan,Kyoto,161845216,74689760,126479040,70594360,101968424,80026616,276081536
Kyoto.26,Japan,Kyoto,151836544,121080736,205037136,114441616,165302592,129732400,447560096
Kyoto.27,Japan,Kyoto,70794912,44678796,75658712,42228960,60996668,47871260,165149696
Kyoto.28,Japan,Kyoto,70794912,44678796,75658712,42228960,60996668,47871260,165149696
Kyoto.29,Japan,Kyoto,77314816,22558864,38200996,21321912,30797956,24170778,83386080
Kyoto.30,Japan,Kyoto,156838432,54812512,92819064,51807028,74831480,58729068,202607744
Kyoto.31,Japan,Kyoto,5294292,23506532,39805772,22217618,32091736,25186162,86889008
Kyoto.32,Japan,Kyoto,178813.46875,225220.953125,381387.3125,212871.578125,307477.5625,241313.796875,832501.5625
Kyoto.33,Japan,Kyoto,178813.46875,225220.953125,381387.3125,212871.578125,307477.5625,241313.796875,832501.5625
Kyoto.34,Japan,Kyoto,532635.875,998336.25,1690574.5,943595.25,1362954.875,1069671,3690227.25
Kyoto.35,Japan,Kyoto,19512952,12859151,21775584,12154056,17555652,13777985,47532272
Kyoto.36,Japan,Kyoto,1129640.5,442148.71875,771515.6875,415295.96875,620718.5625,472974.46875,1677498.875
Kyoto.37,Japan,Kyoto,4008502.75,4603001.5,8031885,4323450,6462008,4923914,17463648
Kyoto.38,Japan,Kyoto,72312120,128150232,223612336,120367368,179906048,137084608,486198080
Kyoto.39,Japan,Kyoto,72312120,128150232,223612336,120367368,179906048,137084608,486198080
Kyoto.40,Japan,Kyoto,70816880,13406131,23392674,12591945,18820444,14340781,50862460
Kyoto.41,Japan,Kyoto,70816880,13406131,23392674,12591945,18820444,14340781,50862460
Kyoto.42,Japan,Kyoto,18010622,3986628.5,6956362,3744511.25,5596701.5,4264569,15125149
Kyoto.43,Japan,Kyoto,51442452,66596552,116205896,62551984,93492784,71239536,252665296
Kyoto.44,Japan,Kyoto,8904133,659209.75,1150359.75,618988.375,925172.5,705434.6875,2503367
