UID,Country,City,GDP_2005,SSP_1_2030,SSP_1_2100,SSP_2_2030,SSP_2_2100,SSP_5_2030,SSP_5_2100
Lansing.1,USA,Lansing,73043.7265625,1798.4324951171875,3082.635009765625,1727.3697509765625,2532.36181640625,1865.828125,4865.34375
Lansing.2,USA,Lansing,26782.701171875,102841.109375,244575.28125,98147.703125,197981.625,112160.53125,576723
Lansing.3,USA,Lansing,87652.4765625,44675.25390625,106246.0546875,42636.39453125,86005.2890625,48723.70703125,250534.5
Lansing.4,USA,Lansing,87652.4765625,44675.25390625,106246.0546875,42636.39453125,86005.2890625,48723.70703125,250534.5
Lansing.5,USA,Lansing,295421.3125,81468.90625,193748.1875,77750.875,156837.515625,88851.578125,456869.71875
Lansing.6,USA,Lansing,16231.939453125,15086.8330078125,35879.296875,14398.3095703125,29043.984375,16453.99609375,84605.5
Lansing.7,USA,Lansing,16231.939453125,15086.8330078125,35879.296875,14398.3095703125,29043.984375,16453.99609375,84605.5
Lansing.8,USA,Lansing,854611.625,126729.3984375,301386.09375,120945.8046875,243969.484375,138213.5625,710686.25
Lansing.9,USA,Lansing,56000.19140625,43471.6328125,103383.625,41487.703125,83688.171875,47411.01953125,243784.734375
Lansing.10,USA,Lansing,1308294.375,224497.921875,533897.8125,214252.4375,432185.75,244841.859375,1258962.75
Lansing.11,USA,Lansing,1308294.375,224497.921875,533897.8125,214252.4375,432185.75,244841.859375,1258962.75
Lansing.12,USA,Lansing,1628063.5,81468.90625,193748.1875,77750.875,156837.515625,88851.578125,456869.71875
Lansing.13,USA,Lansing,1628063.5,81468.90625,193748.1875,77750.875,156837.515625,88851.578125,456869.71875
Lansing.14,USA,Lansing,1785513.375,69399.4296875,165044.765625,66232.21875,133602.328125,75688.3828125,389185.3125
Lansing.15,USA,Lansing,1785513.375,69399.4296875,165044.765625,66232.21875,133602.328125,75688.3828125,389185.3125
Lansing.16,USA,Lansing,7503214,1293216.875,3075510.25,1234197.875,2489599.5,1410407.75,7252235.5
Lansing.17,USA,Lansing,636292.0625,528236.0625,1256243.625,504128.71875,1016918.5,576104.5625,2962296.5
Lansing.18,USA,Lansing,636292.0625,528236.0625,1256243.625,504128.71875,1016918.5,576104.5625,2962296.5
Lansing.19,USA,Lansing,6161644.5,1939608.75,4612750.5,1851090,3733982.25,2115375.5,10877138
Lansing.20,USA,Lansing,6161644.5,1939608.75,4612750.5,1851090,3733982.25,2115375.5,10877138
Lansing.21,USA,Lansing,13647003,10515925,25008826,10036006,20244434,11468874,58972296
Lansing.22,USA,Lansing,2623893,5936374,14117802,5665453,11428240,6474325.5,33290610
Lansing.23,USA,Lansing,2623893,5936374,14117802,5665453,11428240,6474325.5,33290610
Lansing.24,USA,Lansing,2623893,5936374,14117802,5665453,11428240,6474325.5,33290610
Lansing.25,USA,Lansing,28078010,15604692,37110860,14892535,30040924,17018784,87509608
Lansing.26,USA,Lansing,28078010,15604692,37110860,14892535,30040924,17018784,87509608
Lansing.27,USA,Lansing,29939812,50564220,120251120,48256604,97342264,55146332,283559264
Lansing.28,USA,Lansing,29939812,50564220,120251120,48256604,97342264,55146332,283559264
Lansing.29,USA,Lansing,29939812,50564220,120251120,48256604,97342264,55146332,283559264
Lansing.30,USA,Lansing,43154236,69082400,164290800,65929664,132992008,75342624,387407424
Lansing.31,USA,Lansing,43154236,69082400,164290800,65929664,132992008,75342624,387407424
Lansing.32,USA,Lansing,26792440,98939736,235297088,94424384,190470992,107905616,554844480
Lansing.33,USA,Lansing,74395040,179623328,427359008,171368592,345712608,195771600,1006157760
Lansing.34,USA,Lansing,74395040,179623328,427359008,171368592,345712608,195771600,1006157760
Lansing.35,USA,Lansing,74395040,179623328,427359008,171368592,345712608,195771600,1006157760
Lansing.36,USA,Lansing,639030336,2712227840,6452920320,2587585536,5220098048,2956059136,15192509440
Lansing.37,USA,Lansing,639030336,2712227840,6452920320,2587585536,5220098048,2956059136,15192509440
Lansing.38,USA,Lansing,639030336,2712227840,6452920320,2587585536,5220098048,2956059136,15192509440
Lansing.39,USA,Lansing,639030336,2712227840,6452920320,2587585536,5220098048,2956059136,15192509440
Lansing.40,USA,Lansing,252329568,5378769920,12797145088,5131584512,10352266240,5862325760,30129115136
