UID,Country,City,GDP_2005,SSP_1_2030,SSP_1_2100,SSP_2_2030,SSP_2_2100,SSP_5_2030,SSP_5_2100
Pittsburgh.1,USA,Pittsburgh,4382.73974609375,35039.09375,52008.1953125,33248.31640625,41222.15625,40062.2578125,159708.40625
Pittsburgh.2,USA,Pittsburgh,15777.86328125,40869.1171875,60712.1953125,38778.9609375,48064.875,46706.62890625,186099.0625
Pittsburgh.3,USA,Pittsburgh,2821608,763601.875,1535439.125,727341.5,1236504.75,847584.5625,3890113.75
Pittsburgh.4,USA,Pittsburgh,77136.21875,108954.6953125,227050.25,103822.765625,183052,120698.1796875,571071.8125
Pittsburgh.5,USA,Pittsburgh,55222.5234375,101618.1015625,150774.15625,96470.015625,119397.234375,116247.5078125,462508.8125
Pittsburgh.6,USA,Pittsburgh,1881072,991518.75,2267799.25,945584.3125,1833918.75,1088134.125,5492275.5
Pittsburgh.7,USA,Pittsburgh,87654.796875,42032.890625,62380.85546875,39893.6328125,49404.66015625,48058.734375,191204.21875
Pittsburgh.8,USA,Pittsburgh,45282468,25523882,57528656,24351106,46564340,27923098,136051216
Pittsburgh.9,USA,Pittsburgh,4231973.5,1509704.875,3311381.75,1439246.25,2674621,1662892.375,8124561.5
Pittsburgh.10,USA,Pittsburgh,262964.40625,1061916,1848660.125,1009444.0625,1477201.75,1198651.875,5172152
Pittsburgh.11,USA,Pittsburgh,10423.6201171875,9132.552734375,20737.279296875,8713.98828125,16789.345703125,9952.5498046875,48144.6015625
Pittsburgh.12,USA,Pittsburgh,10518.576171875,49062.39453125,72604.7734375,46574.65625,57544.64453125,56089.16015625,222642.203125
Pittsburgh.13,USA,Pittsburgh,112198.140625,74619.671875,168133.140625,71148.9296875,135874.03125,82035.1328125,410147.15625
Pittsburgh.14,USA,Pittsburgh,30188312,16895584,40376188,16119160,32684870,18433364,95579344
Pittsburgh.15,USA,Pittsburgh,24666060,21073154,50114932,20107672,40581888,22978752,118018512
Pittsburgh.16,USA,Pittsburgh,3251993,1787756.875,4193003.75,1705721.125,3394888.5,1950604.5,9873211
Pittsburgh.17,USA,Pittsburgh,631114.5625,201924.90625,469128.1875,192607.671875,379532.15625,221158.875,1127081.875
Pittsburgh.18,USA,Pittsburgh,473335.90625,75568.421875,167446.03125,72043.2421875,135264.15625,83232.5234375,411304.0625
Pittsburgh.19,USA,Pittsburgh,125083.4453125,143798.28125,298932.8125,137049.125,241212.921875,158212.78125,724742.375
Pittsburgh.20,USA,Pittsburgh,6135.8359375,0,0,0,0,0,0
Pittsburgh.21,USA,Pittsburgh,22509752,2599144.5,6108263.5,2481009,4950527,2830417.75,14203114
Pittsburgh.22,USA,Pittsburgh,32167558,20001866,47703540,19084844,38627152,21820770,112738056
Pittsburgh.23,USA,Pittsburgh,13135948,2430344,5806489,2318913.75,4701683,2652229.75,13754241
Pittsburgh.24,USA,Pittsburgh,687213.625,36342.421875,85385.8671875,34688.74609375,69199.078125,39570.71875,198433.359375
Pittsburgh.25,USA,Pittsburgh,599558.8125,233560.875,531937.9375,222787.34375,430354.15625,255821.609375,1271509.5
Pittsburgh.26,USA,Pittsburgh,79765.8671875,17234.51171875,25598.716796875,16355.9501953125,20274.66015625,19711.681640625,78557.296875
Pittsburgh.27,USA,Pittsburgh,69886.5546875,14874.212890625,32207.5234375,14177.1044921875,26002.529296875,16386.052734375,78847.6953125
Pittsburgh.28,USA,Pittsburgh,1621613.75,528362.75,983432.375,502746.3125,788966.75,591494.1875,2609764.75
Pittsburgh.29,USA,Pittsburgh,9233556,7571659.5,17065838,7221845,13801923,8306317.5,41069668
Pittsburgh.30,USA,Pittsburgh,8709381,9047754,21124362,8632491,17098656,9906515,50662592
Pittsburgh.31,USA,Pittsburgh,5334671,2018953.875,4102498.5,1922591.25,3301851.75,2245509.25,10551669
Pittsburgh.32,USA,Pittsburgh,16654.412109375,2821.15185546875,4856.22509765625,2709.59033203125,3991.80224609375,2929.53564453125,7703.2119140625
Pittsburgh.33,USA,Pittsburgh,101679.5625,72720.921875,158718.59375,69339.4921875,128244.1953125,80092.15625,388280.15625
Pittsburgh.34,USA,Pittsburgh,105185.7578125,130616.9296875,193585.0625,123981.3515625,153494.328125,149401.96875,594420.25
Pittsburgh.35,USA,Pittsburgh,244556.890625,29554.1328125,50072.4609375,28079.482421875,39931.33984375,33434.234375,142134.28125
Pittsburgh.36,USA,Pittsburgh,1380563,6438047.5,10373186,6114239.5,8252313.5,7313890.5,30320474
Pittsburgh.37,USA,Pittsburgh,520669.5,299608,681493.5,285681.625,550755.375,328929.15625,1653595
Pittsburgh.38,USA,Pittsburgh,269976.78125,28032.171875,45280.109375,26619.849609375,36022.74609375,31839.166015625,132126.515625
