Continent,Country,City,City_Latitude,City_Longitude,Population,Population_Latitude,Population_Longitude,Distance,Maximum_Distance,Standardized_Distance
Europe,France,Paris,48.856613,2.352222,1,48.85631,2.3516,0.0566,32.895,0.0017
Europe,France,Paris,48.856613,2.352222,2,48.8565,2.34896,0.239,32.895,0.0073
Europe,France,Paris,48.856613,2.352222,3,48.843641,2.359353,1.5339,32.895,0.0466
Europe,France,Paris,48.856613,2.352222,4,48.838908000000004,2.330939,2.5102,32.895,0.0763
Europe,France,Paris,48.856613,2.352222,5,48.838355,2.3262150000000004,2.7827,32.895,0.0846
Europe,France,Paris,48.856613,2.352222,6,48.657703000000005,2.0932459999999997,29.1479,32.895,0.8861
Europe,France,Paris,48.856613,2.352222,7,48.654567,2.066427,30.7194,32.895,0.9339
Europe,France,Paris,48.856613,2.352222,8,48.6695,2.063558,29.6742,32.895,0.9021
Europe,France,Paris,48.856613,2.352222,9,48.678344,2.0797830000000004,28.1358,32.895,0.8553
Europe,France,Paris,48.856613,2.352222,10,48.678892,2.023329,31.1697,32.895,0.9476
Europe,France,Paris,48.856613,2.352222,11,48.674143,2.0127040000000003,32.1077,32.895,0.9761
Europe,France,Paris,48.856613,2.352222,12,48.6488,2.032876,32.895,32.895,1
Europe,France,Paris,48.856613,2.352222,13,48.664584000000005,2.1665490000000003,25.3212,32.895,0.7698
Europe,France,Paris,48.856613,2.352222,15,48.729890000000005,2.18027,18.9001,32.895,0.5746
Europe,France,Paris,48.856613,2.352222,16,48.74145,2.19537,17.2037,32.895,0.523
Europe,France,Paris,48.856613,2.352222,17,48.75419,2.1585,18.193,32.895,0.5531
Europe,France,Paris,48.856613,2.352222,18,48.76397,2.1735599999999997,16.6519,32.895,0.5062
Europe,France,Paris,48.856613,2.352222,19,48.76453,2.16142,17.3221,32.895,0.5266
Europe,France,Paris,48.856613,2.352222,20,48.7073,2.12368,23.5808,32.895,0.7169
Europe,France,Paris,48.856613,2.352222,21,48.70071,2.10648,24.9951,32.895,0.7598
Europe,France,Paris,48.856613,2.352222,22,48.6965,2.16025,22.6905,32.895,0.6898
Europe,France,Paris,48.856613,2.352222,23,48.87519,2.36233,2.194,32.895,0.0667
Europe,France,Paris,48.856613,2.352222,24,48.87809,2.3812900000000004,3.1975,32.895,0.0972
Europe,France,Paris,48.856613,2.352222,25,48.8249,2.33766,3.6838,32.895,0.112
Europe,France,Paris,48.856613,2.352222,26,48.8422,2.34516,1.6839,32.895,0.0512
Europe,France,Paris,48.856613,2.352222,27,48.686553,2.16708,23.2738,32.895,0.7075
Europe,France,Paris,48.856613,2.352222,28,48.699290000000005,2.18844,21.2144,32.895,0.6449
Europe,France,Paris,48.856613,2.352222,29,48.70225,2.1836700000000002,21.1458,32.895,0.6428
Europe,France,Paris,48.856613,2.352222,30,48.72311,2.25824,16.3637,32.895,0.4975
Europe,France,Paris,48.856613,2.352222,31,48.73553,2.2721,14.6873,32.895,0.4465
Europe,France,Paris,48.856613,2.352222,32,48.7549,2.3031200000000003,11.8679,32.895,0.3608
Europe,France,Paris,48.856613,2.352222,33,48.76481,2.30301,10.8254,32.895,0.3291
Europe,France,Paris,48.856613,2.352222,34,48.775929999999995,2.31228,9.4362,32.895,0.2869
Europe,France,Paris,48.856613,2.352222,35,48.80252,2.32996,6.2317,32.895,0.1894
Europe,France,Paris,48.856613,2.352222,36,48.66969,2.12582,26.596800000000002,32.895,0.8085
Europe,France,Paris,48.856613,2.352222,37,48.70282,2.1720900000000003,21.6021,32.895,0.6567
Europe,France,Paris,48.856613,2.352222,38,48.85991,2.31316,2.8811,32.895,0.0876
Europe,France,Paris,48.856613,2.352222,39,48.8403,2.31938,3.0109,32.895,0.0915
Europe,France,Paris,48.856613,2.352222,40,48.8067,2.24907,9.3708,32.895,0.2849
Europe,France,Paris,48.856613,2.352222,41,48.78134,2.2496400000000003,11.2457,32.895,0.3419
Europe,France,Paris,48.856613,2.352222,42,48.77256,2.2682599999999997,11.187,32.895,0.3401
Europe,France,Paris,48.856613,2.352222,43,48.755309999999994,2.2682599999999997,12.8334,32.895,0.3901
Europe,France,Paris,48.856613,2.352222,44,48.75049,2.12066,20.6605,32.895,0.6281
Europe,France,Paris,48.856613,2.352222,45,48.72911,2.11878,22.2133,32.895,0.6753
Europe,France,Paris,48.856613,2.352222,46,48.71595,2.13941,22.0845,32.895,0.6714
Europe,France,Paris,48.856613,2.352222,47,48.68934,2.11439,25.4896,32.895,0.7749
Europe,France,Paris,48.856613,2.352222,48,48.69645,2.12951,24.1558,32.895,0.7343
Europe,France,Paris,48.856613,2.352222,49,48.86633,2.31987,2.6016,32.895,0.0791
Europe,France,Paris,48.856613,2.352222,50,48.87106,2.3847,2.8679,32.895,0.0872
