Continent,Country,City,City_Latitude,City_Longitude,Population,Population_Latitude,Population_Longitude,Distance,Maximum_Distance,Standardized_Distance
Asia,China,Kunming,25.037281,102.716949,1,25.056825,102.700973,2.7042,21.4466,0.1261
Asia,China,Kunming,25.037281,102.716949,2,25.062929,102.699945,3.3268,21.4466,0.1551
Asia,China,Kunming,25.037281,102.716949,3,25.070744,102.704311,3.9327,21.4466,0.1834
Asia,China,Kunming,25.037281,102.716949,4,25.066532,102.704234,3.4957,21.4466,0.163
Asia,China,Kunming,25.037281,102.716949,5,25.073762,102.709044,4.1339,21.4466,0.1928
Asia,China,Kunming,25.037281,102.716949,6,25.075089,102.712492,4.228,21.4466,0.1971
Asia,China,Kunming,25.037281,102.716949,7,25.079764,102.714608,4.7298,21.4466,0.2205
Asia,China,Kunming,25.037281,102.716949,8,25.081173,102.717206,4.8806,21.4466,0.2276
Asia,China,Kunming,25.037281,102.716949,9,25.083701,102.721485,5.1819,21.4466,0.2416
Asia,China,Kunming,25.037281,102.716949,10,25.085588,102.722654,5.4021,21.4466,0.2519
Asia,China,Kunming,25.037281,102.716949,11,25.087936,102.723348,5.6693,21.4466,0.2643
Asia,China,Kunming,25.037281,102.716949,12,25.091527,102.725547,6.0937,21.4466,0.2841
Asia,China,Kunming,25.037281,102.716949,13,25.094166,102.726128,6.3925,21.4466,0.2981
Asia,China,Kunming,25.037281,102.716949,14,25.095973,102.727277,6.6086,21.4466,0.3081
Asia,China,Kunming,25.037281,102.716949,15,25.096175,102.729682,6.6731,21.4466,0.3111
Asia,China,Kunming,25.037281,102.716949,16,25.096953,102.734659,6.8708,21.4466,0.3204
Asia,China,Kunming,25.037281,102.716949,17,25.098395,102.736478,7.0745,21.4466,0.3299
Asia,China,Kunming,25.037281,102.716949,18,25.101134,102.737525,7.3964,21.4466,0.3449
Asia,China,Kunming,25.037281,102.716949,19,25.104168,102.738471,7.7469,21.4466,0.3612
Asia,China,Kunming,25.037281,102.716949,20,25.108101,102.738826,8.1773,21.4466,0.3813
Asia,China,Kunming,25.037281,102.716949,21,25.111548000000003,102.739202,8.5568,21.4466,0.399
Asia,China,Kunming,25.037281,102.716949,22,25.117321,102.740077,9.1998,21.4466,0.429
Asia,China,Kunming,25.037281,102.716949,23,25.124695000000003,102.742351,10.051,21.4466,0.4687
Asia,China,Kunming,25.037281,102.716949,24,25.129856,102.744405,10.6588,21.4466,0.497
Asia,China,Kunming,25.037281,102.716949,25,25.138491,102.743078,11.5576,21.4466,0.5389
Asia,China,Kunming,25.037281,102.716949,26,25.147691,102.742771,12.5494,21.4466,0.5851
Asia,China,Kunming,25.037281,102.716949,27,25.153056,102.736781,13.0276,21.4466,0.6074
Asia,China,Kunming,25.037281,102.716949,28,25.158099,102.738364,13.6063,21.4466,0.6344
Asia,China,Kunming,25.037281,102.716949,29,25.162923000000003,102.737405,14.1218,21.4466,0.6585
Asia,China,Kunming,25.037281,102.716949,30,25.161625,102.733889,13.9312,21.4466,0.6496
Asia,China,Kunming,25.037281,102.716949,31,25.164719,102.731927,14.2505,21.4466,0.6645
Asia,China,Kunming,25.037281,102.716949,32,25.167493,102.733215,14.5713,21.4466,0.6794
Asia,China,Kunming,25.037281,102.716949,33,25.170151,102.733481,14.868,21.4466,0.6933
Asia,China,Kunming,25.037281,102.716949,34,25.173853,102.734008,15.2829,21.4466,0.7126
Asia,China,Kunming,25.037281,102.716949,35,25.176852,102.736945,15.6496,21.4466,0.7297
Asia,China,Kunming,25.037281,102.716949,36,25.181363,102.738437,16.1666,21.4466,0.7538
Asia,China,Kunming,25.037281,102.716949,37,25.184035,102.739692,16.4782,21.4466,0.7683
Asia,China,Kunming,25.037281,102.716949,38,25.18614,102.740764,16.7251,21.4466,0.7798
Asia,China,Kunming,25.037281,102.716949,39,25.192377,102.74151,17.4223,21.4466,0.8124
Asia,China,Kunming,25.037281,102.716949,40,25.19637,102.741166,17.8571,21.4466,0.8326
Asia,China,Kunming,25.037281,102.716949,41,25.199685,102.741244,18.2234,21.4466,0.8497
Asia,China,Kunming,25.037281,102.716949,42,25.203537,102.741991,18.6579,21.4466,0.87
Asia,China,Kunming,25.037281,102.716949,43,25.208314,102.742906,19.1967,21.4466,0.8951
Asia,China,Kunming,25.037281,102.716949,44,25.210254,102.74213,19.4001,21.4466,0.9046
Asia,China,Kunming,25.037281,102.716949,45,25.213507,102.743073,19.7711,21.4466,0.9219
Asia,China,Kunming,25.037281,102.716949,46,25.216404,102.742684,20.0854,21.4466,0.9365
Asia,China,Kunming,25.037281,102.716949,47,25.219486,102.74277,20.4263,21.4466,0.9524
Asia,China,Kunming,25.037281,102.716949,48,25.222316,102.742207,20.7315,21.4466,0.9667
Asia,China,Kunming,25.037281,102.716949,49,25.226302,102.741174,21.1592,21.4466,0.9866
Asia,China,Kunming,25.037281,102.716949,50,25.228841,102.741776,21.4466,21.4466,1
