Continent,Country,City,City_Latitude,City_Longitude,Population,Population_Latitude,Population_Longitude,Distance,Maximum_Distance,Standardized_Distance
Oceania,Australia,Armidale,-30.51296,151.66942,ARM_Site 1,-30.513366,151.67218,0.2682,13.4161,0.02
Oceania,Australia,Armidale,-30.51296,151.66942,ARM_Site 10,-30.503131,151.650561,2.1116,13.4161,0.1574
Oceania,Australia,Armidale,-30.51296,151.66942,ARM_Site 11,-30.501351,151.644203,2.7391,13.4161,0.2042
Oceania,Australia,Armidale,-30.51296,151.66942,ARM_Site 12,-30.497782,151.642933,3.0475,13.4161,0.2272
Oceania,Australia,Armidale,-30.51296,151.66942,ARM_Site 13,-30.500563,151.641157,3.0384,13.4161,0.2265
Oceania,Australia,Armidale,-30.51296,151.66942,ARM_Site 14,-30.4998,151.638577,3.2973,13.4161,0.2458
Oceania,Australia,Armidale,-30.51296,151.66942,ARM_Site 15,-30.498713,151.635921,3.579,13.4161,0.2668
Oceania,Australia,Armidale,-30.51296,151.66942,ARM_Site 16,-30.496619,151.63356299999998,3.8862,13.4161,0.2897
Oceania,Australia,Armidale,-30.51296,151.66942,ARM_Site 17,-30.494465,151.63138899999998,4.1839,13.4161,0.3119
Oceania,Australia,Armidale,-30.51296,151.66942,ARM_Site 18,-30.492656,151.629568,4.4356,13.4161,0.3306
Oceania,Australia,Armidale,-30.51296,151.66942,ARM_Site 19,-30.490199,151.627841,4.7196,13.4161,0.3518
Oceania,Australia,Armidale,-30.51296,151.66942,ARM_Site 2,-30.512778000000004,151.670195,0.077,13.4161,0.0057
Oceania,Australia,Armidale,-30.51296,151.66942,ARM_Site 20,-30.487221,151.628131,4.8826,13.4161,0.3639
Oceania,Australia,Armidale,-30.51296,151.66942,ARM_Site 21,-30.485112,151.628675,4.9828,13.4161,0.3714
Oceania,Australia,Armidale,-30.51296,151.66942,ARM_Site 22,-30.481733,151.629193,5.1876,13.4161,0.3867
Oceania,Australia,Armidale,-30.51296,151.66942,ARM_Site 23,-30.479343,151.626481,5.5587,13.4161,0.4143
Oceania,Australia,Armidale,-30.51296,151.66942,ARM_Site 24,-30.474653999999997,151.620252,6.3511,13.4161,0.4734
Oceania,Australia,Armidale,-30.51296,151.66942,ARM_Site 25,-30.468075,151.613543,7.3195,13.4161,0.5456
Oceania,Australia,Armidale,-30.51296,151.66942,ARM_Site 26,-30.465405,151.611514,7.6647,13.4161,0.5713
Oceania,Australia,Armidale,-30.51296,151.66942,ARM_Site 27,-30.461655,151.609202,8.1142,13.4161,0.6048
Oceania,Australia,Armidale,-30.51296,151.66942,ARM_Site 28,-30.461475,151.606068,8.3441,13.4161,0.6219
Oceania,Australia,Armidale,-30.51296,151.66942,ARM_Site 29,-30.460849,151.602251,8.6603,13.4161,0.6455
Oceania,Australia,Armidale,-30.51296,151.66942,ARM_Site 3,-30.511922,151.66779,0.1942,13.4161,0.0145
Oceania,Australia,Armidale,-30.51296,151.66942,ARM_Site 30,-30.460063,151.598415,8.9938,13.4161,0.6704
Oceania,Australia,Armidale,-30.51296,151.66942,ARM_Site 31,-30.459462,151.595383,9.2584,13.4161,0.6901
Oceania,Australia,Armidale,-30.51296,151.66942,ARM_Site 32,-30.459215000000004,151.59285400000002,9.4627,13.4161,0.7053
Oceania,Australia,Armidale,-30.51296,151.66942,ARM_Site 33,-30.458864,151.58772,9.8728,13.4161,0.7359
Oceania,Australia,Armidale,-30.51296,151.66942,ARM_Site 34,-30.458158,151.58525,10.1086,13.4161,0.7535
Oceania,Australia,Armidale,-30.51296,151.66942,ARM_Site 35,-30.457755,151.581593,10.4167,13.4161,0.7764
Oceania,Australia,Armidale,-30.51296,151.66942,ARM_Site 36,-30.457054,151.57751299999998,10.7798,13.4161,0.8035
Oceania,Australia,Armidale,-30.51296,151.66942,ARM_Site 37,-30.455952000000003,151.57394,11.1307,13.4161,0.8297
Oceania,Australia,Armidale,-30.51296,151.66942,ARM_Site 38,-30.449275,151.566528,12.1394,13.4161,0.9048
Oceania,Australia,Armidale,-30.51296,151.66942,ARM_Site 39,-30.436877000000003,151.565023,13.1022,13.4161,0.9766
Oceania,Australia,Armidale,-30.51296,151.66942,ARM_Site 4,-30.511203,151.663534,0.5967,13.4161,0.0445
Oceania,Australia,Armidale,-30.51296,151.66942,ARM_Site 40,-30.433156,151.564425,13.4161,13.4161,1
Oceania,Australia,Armidale,-30.51296,151.66942,ARM_Site 5,-30.510803999999997,151.660764,0.8632,13.4161,0.0643
Oceania,Australia,Armidale,-30.51296,151.66942,ARM_Site 6,-30.509512,151.657853,1.1725,13.4161,0.0874
Oceania,Australia,Armidale,-30.51296,151.66942,ARM_Site 7,-30.508727,151.65528,1.434,13.4161,0.1069
Oceania,Australia,Armidale,-30.51296,151.66942,ARM_Site 8,-30.507796000000003,151.652149,1.7513,13.4161,0.1305
Oceania,Australia,Armidale,-30.51296,151.66942,ARM_Site 9,-30.505783,151.651422,1.8999,13.4161,0.1416
