Continent,Country,City,City_Latitude,City_Longitude,Population,Population_Latitude,Population_Longitude,Distance,Maximum_Distance,Standardized_Distance
North America,USA,Baltimore,39.29044,-76.612328,1,39.279466,-76.622552,1.5044,51.8109,0.029
North America,USA,Baltimore,39.29044,-76.612328,2,39.286326,-76.618277,0.6866,51.8109,0.0133
North America,USA,Baltimore,39.29044,-76.612328,3,39.289808,-76.607076,0.4574,51.8109,0.0088
North America,USA,Baltimore,39.29044,-76.612328,4,39.292156,-76.603251,0.8041,51.8109,0.0155
North America,USA,Baltimore,39.29044,-76.612328,5,39.291522,-76.618313,0.5289,51.8109,0.0102
North America,USA,Baltimore,39.29044,-76.612328,6,39.301303999999995,-76.618488,1.3192,51.8109,0.0255
North America,USA,Baltimore,39.29044,-76.612328,7,39.295251,-76.628517,1.4923,51.8109,0.0288
North America,USA,Baltimore,39.29044,-76.612328,8,39.305648,-76.637121,2.7223,51.8109,0.0525
North America,USA,Baltimore,39.29044,-76.612328,9,39.315949,-76.64102700000001,3.7608,51.8109,0.0726
North America,USA,Baltimore,39.29044,-76.612328,10,39.322485,-76.64945999999999,4.7858,51.8109,0.0924
North America,USA,Baltimore,39.29044,-76.612328,11,39.330882,-76.65430400000001,5.7675,51.8109,0.1113
North America,USA,Baltimore,39.29044,-76.612328,12,39.33857,-76.656842,6.5808,51.8109,0.127
North America,USA,Baltimore,39.29044,-76.612328,13,39.490976,-77.156539,51.8109,51.8109,1
North America,USA,Baltimore,39.29044,-76.612328,14,39.499078999999995,-77.14347099999999,51.1991,51.8109,0.9882
North America,USA,Baltimore,39.29044,-76.612328,15,39.506927000000005,-77.101084,48.4065,51.8109,0.9343
North America,USA,Baltimore,39.29044,-76.612328,16,39.515313,-77.06853100000001,46.4935,51.8109,0.8974
North America,USA,Baltimore,39.29044,-76.612328,17,39.516752,-77.038731,44.4464,51.8109,0.8579
North America,USA,Baltimore,39.29044,-76.612328,18,39.503057,-77.025813,42.6768,51.8109,0.8237
North America,USA,Baltimore,39.29044,-76.612328,20,39.494701,-77.003874,40.5952,51.8109,0.7835
North America,USA,Baltimore,39.29044,-76.612328,21,39.48531,-76.98937600000001,38.9806,51.8109,0.7524
North America,USA,Baltimore,39.29044,-76.612328,22,39.488458,-76.97097099999999,37.8778,51.8109,0.7311
North America,USA,Baltimore,39.29044,-76.612328,23,39.480905,-76.95472600000001,36.2552,51.8109,0.6998
North America,USA,Baltimore,39.29044,-76.612328,24,39.468334000000006,-76.93907,34.3504,51.8109,0.663
North America,USA,Baltimore,39.29044,-76.612328,25,39.469511,-76.90165999999999,31.8572,51.8109,0.6149
North America,USA,Baltimore,39.29044,-76.612328,26,39.448806,-76.896654,30.1241,51.8109,0.5814
North America,USA,Baltimore,39.29044,-76.612328,27,39.446347,-76.872001,28.2634,51.8109,0.5455
North America,USA,Baltimore,39.29044,-76.612328,28,39.449091,-76.84810999999999,26.8702,51.8109,0.5186
North America,USA,Baltimore,39.29044,-76.612328,29,39.443285,-76.819023,24.588,51.8109,0.4746
North America,USA,Baltimore,39.29044,-76.612328,30,39.438022,-76.80322,23.2079,51.8109,0.4479
North America,USA,Baltimore,39.29044,-76.612328,31,39.426723,-76.78962299999999,21.494,51.8109,0.4149
North America,USA,Baltimore,39.29044,-76.612328,32,39.417221999999995,-76.77759499999999,20.0164,51.8109,0.3863
North America,USA,Baltimore,39.29044,-76.612328,33,39.407863999999996,-76.763912,18.4492,51.8109,0.3561
North America,USA,Baltimore,39.29044,-76.612328,34,39.396042,-76.751058,16.7394,51.8109,0.3231
North America,USA,Baltimore,39.29044,-76.612328,35,39.385845,-76.736265,15.0382,51.8109,0.2903
North America,USA,Baltimore,39.29044,-76.612328,36,39.374997,-76.724809,13.4905,51.8109,0.2604
North America,USA,Baltimore,39.29044,-76.612328,37,39.36363,-76.712856,11.8743,51.8109,0.2292
North America,USA,Baltimore,39.29044,-76.612328,38,39.352313,-76.700422,10.2352,51.8109,0.1975
North America,USA,Baltimore,39.29044,-76.612328,39,39.344289,-76.68596,8.7164,51.8109,0.1682
North America,USA,Baltimore,39.29044,-76.612328,40,39.339674,-76.676277,7.7612,51.8109,0.1498
