UID,Country,City,GDP_2005,SSP_1_2030,SSP_1_2100,SSP_2_2030,SSP_2_2100,SSP_5_2030,SSP_5_2100
Wuhan.,China,Wuhan,282839.6875,475461.1875,751580.875,416977.28125,733296,529587.75,1203340
Wuhan.,China,Wuhan,500892.8125,3252907.75,5142003.5,2852785.25,5016906.5,3623219.5,8232752
Wuhan.,China,Wuhan,11476.4794921875,22232.83984375,68144.140625,19498.09765625,66486.296875,24763.830078125,109104.125
Wuhan.,China,Wuhan,161411.125,273037.125,431600.90625,239452.296875,421100.6875,304119.71875,691027
Wuhan.,China,Wuhan,1800696.625,10008087,15820192,8777047,15435310,11147410,25329370
Wuhan.,China,Wuhan,1199477.25,1048523.5,1657442.25,919550.3125,1617119.125,1167887.625,2653695.25
Wuhan.,China,Wuhan,3022016.25,16829448,26602996,14759349,25955784,18745316,42593488
Wuhan.,China,Wuhan,1116180.125,6272980.5,9915957,5501375,9674716,6987097.5,15876226
Wuhan.,China,Wuhan,716724.625,627053.875,991209.25,549923.375,967094.5625,698437.8125,1587003.875
Wuhan.,China,Wuhan,17105878,548199168,866560832,480768160,845478656,610606272,1387431936
Wuhan.,China,Wuhan,194359.734375,263622.0625,416718.125,231195.328125,406579.96875,293632.84375,667198.4375
Wuhan.,China,Wuhan,8820600,6006567.5,9494818,5267732.5,9263823,6690356.5,15201950
Wuhan.,China,Wuhan,7404.18017578125,99655.25,305445.5,87397.1953125,298014.46875,111000.0234375,489042.25
Wuhan.,China,Wuhan,10910800,19438670,30727486,17047624,29979932,21651572,49197120
Wuhan.,China,Wuhan,32201520,1153016064,1822619392,1011189760,1778277760,1284275584,2918156800
Wuhan.,China,Wuhan,222125.40625,324820.03125,513456.25,284865.65625,500964.625,361797.59375,822083.8125
Wuhan.,China,Wuhan,9601371,203843856,322224320,178770128,314385088,227049488,515906464
Wuhan.,China,Wuhan,13540765,57891904,91512088,50770936,89285736,64482332,146518048
Wuhan.,China,Wuhan,146602.765625,111973.90625,177001.65625,98200.6015625,172695.453125,124721.0390625,283393.5625
Wuhan.,China,Wuhan,203614.953125,273037.125,431600.90625,239452.296875,421100.6875,304119.71875,691027
Wuhan.,China,Wuhan,196210.78125,263622.0625,416718.125,231195.328125,406579.96875,293632.84375,667198.4375
Wuhan.,China,Wuhan,4040831.5,8404645,13285565,7370835,12962347,9361431,21271234
Wuhan.,China,Wuhan,606402.375,898664,1420553.75,788124.25,1385993.75,1000968.125,2274418
Wuhan.,China,Wuhan,1684451,4461847.5,7053024,3913019.5,6881434,4969785,11292446
Wuhan.,China,Wuhan,44739020,1189848576,1880842112,1043491712,1835084032,1325301120,3011375872
Wuhan.,China,Wuhan,108101.03125,203476.859375,321644.1875,178448.265625,313819.0625,226640.703125,514977.625
Wuhan.,China,Wuhan,995862.25,4229230,6685309.5,3709015.25,6522665.5,4710686.5,10703706
Wuhan.,China,Wuhan,9391462,4805920,7596910.5,4214769.5,7412089,5353027,12163251
Wuhan.,China,Wuhan,5550544,47157376,74543584,41356800,72730048,52525780,119350136
Wuhan.,China,Wuhan,438034272,7160346624,11318652928,6279590912,11043286016,7975481856,18122051584
Wuhan.,China,Wuhan,282099.28125,609477.875,963426.5,534509.3125,939987.75,678860.9375,1542521.5
Wuhan.,China,Wuhan,103288.3125,247091.265625,390587.46875,216697.90625,381085.0625,275220.1875,625361.25
Wuhan.,China,Wuhan,2605160.75,16147311,25524688,14161117,24903710,17985524,40867032
Wuhan.,China,Wuhan,27765.67578125,61197.9765625,96738.140625,53670.34375,94384.640625,68164.765625,154885.359375
Wuhan.,China,Wuhan,4820121.5,52097672,82352912,45689420,80349384,58028480,131853480
Wuhan.,China,Wuhan,482012.125,1215894.375,1922012.25,1066333.875,1875252.5,1354312.125,3077292.5
Wuhan.,China,Wuhan,847038.25,3214738,5081667,2819310.25,4958037.5,3580704.25,8136148
Wuhan.,China,Wuhan,546428.5,4874797,7705790,4275174.5,7518319.5,5429745,12337575
Wuhan.,China,Wuhan,941071.3125,5598754.5,8850171,4910082,8634860,6236118,14169820
Wuhan.,China,Wuhan,366506.9375,249499.4375,394393.9375,218809.859375,384798.90625,277902.5,631455.6875
Wuhan.,China,Wuhan,103658.5234375,190578.1875,301254.4375,167136.1875,293925.34375,212273.640625,482332.03125
